ticker,date_from,date_to,value_from,value_to,pct_change
NASDAQCOM,2022-12-21 00:00:00,2022-12-22 00:00:00,10709.37,10476.12,-2.1779992660632694
NASDAQCOM,2022-12-23 00:00:00,2022-12-27 00:00:00,10497.86,10353.23,-1.3777093617175407
NASDAQCOM,2022-12-27 00:00:00,2022-12-28 00:00:00,10353.23,10213.29,-1.3516554737023971
NASDAQCOM,2022-12-28 00:00:00,2022-12-29 00:00:00,10213.29,10478.09,2.5927002953994185
NASDAQCOM,2023-01-04 00:00:00,2023-01-05 00:00:00,10458.76,10305.24,-1.4678604346978077
NASDAQCOM,2023-01-05 00:00:00,2023-01-06 00:00:00,10305.24,10569.29,2.5622886997294687
NASDAQCOM,2023-01-09 00:00:00,2023-01-10 00:00:00,10635.65,10742.63,1.0058623591411862
NASDAQCOM,2023-01-10 00:00:00,2023-01-11 00:00:00,10742.63,10931.67,1.759718057868519
NASDAQCOM,2023-01-17 00:00:00,2023-01-18 00:00:00,11095.11,10957.01,-1.2446924816428169
NASDAQCOM,2023-01-19 00:00:00,2023-01-20 00:00:00,10852.27,11140.43,2.655297002378303
NASDAQCOM,2023-01-20 00:00:00,2023-01-23 00:00:00,11140.43,11364.41,2.0105148544535494
NASDAQCOM,2023-01-25 00:00:00,2023-01-26 00:00:00,11313.36,11512.41,1.759424255923963
NASDAQCOM,2023-01-27 00:00:00,2023-01-30 00:00:00,11621.71,11393.81,-1.960985087392472
NASDAQCOM,2023-01-30 00:00:00,2023-01-31 00:00:00,11393.81,11584.55,1.6740668836850867
NASDAQCOM,2023-01-31 00:00:00,2023-02-01 00:00:00,11584.55,11816.32,2.000681942759973
NASDAQCOM,2023-02-01 00:00:00,2023-02-02 00:00:00,11816.32,12200.82,3.253974164545307
NASDAQCOM,2023-02-02 00:00:00,2023-02-03 00:00:00,12200.82,12006.95,-1.5889915595836919
NASDAQCOM,2023-02-06 00:00:00,2023-02-07 00:00:00,11887.45,12113.79,1.9040248329120217
NASDAQCOM,2023-02-07 00:00:00,2023-02-08 00:00:00,12113.79,11910.52,-1.6780049844020775
NASDAQCOM,2023-02-08 00:00:00,2023-02-09 00:00:00,11910.52,11789.58,-1.0154048689729795
